,pokedex_number,name,generation,status,species,type_number,type_1,hp,attack,defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
121,93,Haunter,1,Normal,Gas Pokémon,2,Ghost,45.0,50.0,45.0,95.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
122,94,Gengar,1,Normal,Shadow Pokémon,2,Ghost,60.0,65.0,60.0,110.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
124,95,Onix,1,Normal,Rock Snake Pokémon,2,Rock,35.0,45.0,160.0,70.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
125,96,Drowzee,1,Normal,Hypnosis Pokémon,1,Psychic,60.0,48.0,45.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
126,97,Hypno,1,Normal,Hypnosis Pokémon,1,Psychic,85.0,73.0,70.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
127,98,Krabby,1,Normal,River Crab Pokémon,1,Water,30.0,105.0,90.0,50.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
128,99,Kingler,1,Normal,Pincer Pokémon,1,Water,55.0,130.0,115.0,75.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
129,100,Voltorb,1,Normal,Ball Pokémon,1,Electric,40.0,30.0,50.0,100.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,101,Electrode,1,Normal,Ball Pokémon,1,Electric,60.0,50.0,70.0,150.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
131,102,Exeggcute,1,Normal,Egg Pokémon,2,Grass,60.0,40.0,80.0,40.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
132,103,Exeggutor,1,Normal,Coconut Pokémon,2,Grass,95.0,95.0,85.0,55.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
133,103,Alolan Exeggutor,1,Normal,Coconut Pokémon,2,Grass,95.0,105.0,85.0,45.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
134,104,Cubone,1,Normal,Lonely Pokémon,1,Ground,50.0,50.0,95.0,35.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
135,105,Marowak,1,Normal,Bone Keeper Pokémon,1,Ground,60.0,80.0,110.0,45.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
136,105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,2,Fire,60.0,80.0,110.0,45.0,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
137,106,Hitmonlee,1,Normal,Kicking Pokémon,1,Fighting,50.0,120.0,53.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
138,107,Hitmonchan,1,Normal,Punching Pokémon,1,Fighting,50.0,105.0,79.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
139,108,Lickitung,1,Normal,Licking Pokémon,1,Normal,90.0,55.0,75.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
140,109,Koffing,1,Normal,Poison Gas Pokémon,1,Poison,40.0,65.0,95.0,35.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
141,110,Weezing,1,Normal,Poison Gas Pokémon,1,Poison,65.0,90.0,120.0,60.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
142,110,Galarian Weezing,1,Normal,Poison Gas Pokémon,2,Poison,65.0,90.0,120.0,60.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
143,111,Rhyhorn,1,Normal,Spikes Pokémon,2,Ground,80.0,85.0,95.0,25.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
144,112,Rhydon,1,Normal,Drill Pokémon,2,Ground,105.0,130.0,120.0,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
145,113,Chansey,1,Normal,Egg Pokémon,1,Normal,250.0,5.0,5.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
146,114,Tangela,1,Normal,Vine Pokémon,1,Grass,65.0,55.0,115.0,60.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
147,115,Kangaskhan,1,Normal,Parent Pokémon,1,Normal,105.0,95.0,80.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
149,116,Horsea,1,Normal,Dragon Pokémon,1,Water,30.0,40.0,70.0,60.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
150,117,Seadra,1,Normal,Dragon Pokémon,1,Water,55.0,65.0,95.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
151,118,Goldeen,1,Normal,Goldfish Pokémon,1,Water,45.0,67.0,60.0,63.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
152,119,Seaking,1,Normal,Goldfish Pokémon,1,Water,80.0,92.0,65.0,68.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
153,120,Staryu,1,Normal,Star Shape Pokémon,1,Water,30.0,45.0,55.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
154,121,Starmie,1,Normal,Mysterious Pokémon,2,Water,60.0,75.0,85.0,115.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
155,122,Mr. Mime,1,Normal,Barrier Pokémon,2,Psychic,40.0,45.0,65.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
156,122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,2,Psychic,50.0,65.0,65.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.0,1.0,1.5,1.0
157,123,Scyther,1,Normal,Mantis Pokémon,2,Bug,70.0,110.0,80.0,105.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
158,124,Jynx,1,Normal,Human Shape Pokémon,2,Ice,65.0,50.0,35.0,95.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
159,125,Electabuzz,1,Normal,Electric Pokémon,1,Electric,65.0,83.0,57.0,105.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
160,126,Magmar,1,Normal,Spitfire Pokémon,1,Fire,65.0,95.0,57.0,93.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
161,127,Pinsir,1,Normal,Stag Beetle Pokémon,1,Bug,65.0,125.0,100.0,85.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
163,128,Tauros,1,Normal,Wild Bull Pokémon,1,Normal,75.0,100.0,95.0,110.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
164,129,Magikarp,1,Normal,Fish Pokémon,1,Water,20.0,10.0,55.0,80.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
165,130,Gyarados,1,Normal,Atrocious Pokémon,2,Water,95.0,125.0,79.0,81.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
167,131,Lapras,1,Normal,Transport Pokémon,2,Water,130.0,85.0,80.0,60.0,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
168,132,Ditto,1,Normal,Transform Pokémon,1,Normal,48.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
169,133,Eevee,1,Normal,Evolution Pokémon,1,Normal,55.0,55.0,50.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
170,133,Partner Eevee,1,Normal,Evolution Pokémon,1,Normal,65.0,75.0,70.0,75.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
171,134,Vaporeon,1,Normal,Bubble Jet Pokémon,1,Water,130.0,65.0,60.0,65.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
172,135,Jolteon,1,Normal,Lightning Pokémon,1,Electric,65.0,65.0,60.0,130.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,136,Flareon,1,Normal,Flame Pokémon,1,Fire,65.0,130.0,60.0,65.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
174,137,Porygon,1,Normal,Virtual Pokémon,1,Normal,65.0,60.0,70.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
175,138,Omanyte,1,Normal,Spiral Pokémon,2,Rock,35.0,40.0,100.0,35.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,139,Omastar,1,Normal,Spiral Pokémon,2,Rock,70.0,60.0,125.0,55.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,140,Kabuto,1,Normal,Shellfish Pokémon,2,Rock,30.0,80.0,90.0,55.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,141,Kabutops,1,Normal,Shellfish Pokémon,2,Rock,60.0,115.0,105.0,80.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,142,Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,80.0,105.0,65.0,130.0,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
181,143,Snorlax,1,Normal,Sleeping Pokémon,1,Normal,160.0,110.0,65.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
185,147,Dratini,1,Normal,Dragon Pokémon,1,Dragon,41.0,64.0,45.0,50.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
186,148,Dragonair,1,Normal,Dragon Pokémon,1,Dragon,61.0,84.0,65.0,70.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
187,149,Dragonite,1,Normal,Dragon Pokémon,2,Dragon,91.0,134.0,95.0,80.0,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
192,152,Chikorita,2,Normal,Leaf Pokémon,1,Grass,45.0,49.0,65.0,45.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
193,153,Bayleef,2,Normal,Leaf Pokémon,1,Grass,60.0,62.0,80.0,60.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
195,155,Cyndaquil,2,Normal,Fire Mouse Pokémon,1,Fire,39.0,52.0,43.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
196,156,Quilava,2,Normal,Volcano Pokémon,1,Fire,58.0,64.0,58.0,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
197,157,Typhlosion,2,Normal,Volcano Pokémon,1,Fire,78.0,84.0,78.0,100.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
198,158,Totodile,2,Normal,Big Jaw Pokémon,1,Water,50.0,65.0,64.0,43.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
199,159,Croconaw,2,Normal,Big Jaw Pokémon,1,Water,65.0,80.0,80.0,58.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
200,160,Feraligatr,2,Normal,Big Jaw Pokémon,1,Water,85.0,105.0,100.0,78.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
201,161,Sentret,2,Normal,Scout Pokémon,1,Normal,35.0,46.0,34.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
202,162,Furret,2,Normal,Long Body Pokémon,1,Normal,85.0,76.0,64.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
203,163,Hoothoot,2,Normal,Owl Pokémon,2,Normal,60.0,30.0,30.0,50.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
204,164,Noctowl,2,Normal,Owl Pokémon,2,Normal,100.0,50.0,50.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
205,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug,40.0,20.0,30.0,55.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
206,166,Ledian,2,Normal,Five Star Pokémon,2,Bug,55.0,35.0,50.0,85.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
207,167,Spinarak,2,Normal,String Spit Pokémon,2,Bug,40.0,60.0,40.0,30.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
208,168,Ariados,2,Normal,Long Leg Pokémon,2,Bug,70.0,90.0,70.0,40.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
209,169,Crobat,2,Normal,Bat Pokémon,2,Poison,85.0,90.0,80.0,130.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
210,170,Chinchou,2,Normal,Angler Pokémon,2,Water,75.0,38.0,38.0,67.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
211,171,Lanturn,2,Normal,Light Pokémon,2,Water,125.0,58.0,58.0,67.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
212,172,Pichu,2,Normal,Tiny Mouse Pokémon,1,Electric,20.0,40.0,15.0,60.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
213,173,Cleffa,2,Normal,Star Shape Pokémon,1,Fairy,50.0,25.0,28.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
214,174,Igglybuff,2,Normal,Balloon Pokémon,2,Normal,90.0,30.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
215,175,Togepi,2,Normal,Spike Ball Pokémon,1,Fairy,35.0,20.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
216,176,Togetic,2,Normal,Happiness Pokémon,2,Fairy,55.0,40.0,85.0,40.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
217,177,Natu,2,Normal,Tiny Bird Pokémon,2,Psychic,40.0,50.0,45.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
218,178,Xatu,2,Normal,Mystic Pokémon,2,Psychic,65.0,75.0,70.0,95.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
219,179,Mareep,2,Normal,Wool Pokémon,1,Electric,55.0,40.0,40.0,35.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
220,180,Flaaffy,2,Normal,Wool Pokémon,1,Electric,70.0,55.0,55.0,45.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
221,181,Ampharos,2,Normal,Light Pokémon,1,Electric,90.0,75.0,85.0,55.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
223,182,Bellossom,2,Normal,Flower Pokémon,1,Grass,75.0,80.0,95.0,50.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
224,183,Marill,2,Normal,Aqua Mouse Pokémon,2,Water,70.0,20.0,50.0,40.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
225,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,2,Water,100.0,50.0,80.0,50.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
226,185,Sudowoodo,2,Normal,Imitation Pokémon,1,Rock,70.0,100.0,115.0,30.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
227,186,Politoed,2,Normal,Frog Pokémon,1,Water,90.0,75.0,75.0,70.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
228,187,Hoppip,2,Normal,Cottonweed Pokémon,2,Grass,35.0,35.0,40.0,50.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
229,188,Skiploom,2,Normal,Cottonweed Pokémon,2,Grass,55.0,45.0,50.0,80.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
230,189,Jumpluff,2,Normal,Cottonweed Pokémon,2,Grass,75.0,55.0,70.0,110.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
231,190,Aipom,2,Normal,Long Tail Pokémon,1,Normal,55.0,70.0,55.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
232,191,Sunkern,2,Normal,Seed Pokémon,1,Grass,30.0,30.0,30.0,30.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
233,192,Sunflora,2,Normal,Sun Pokémon,1,Grass,75.0,75.0,55.0,30.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
234,193,Yanma,2,Normal,Clear Wing Pokémon,2,Bug,65.0,65.0,45.0,95.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
235,194,Wooper,2,Normal,Water Fish Pokémon,2,Water,55.0,45.0,45.0,15.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
236,195,Quagsire,2,Normal,Water Fish Pokémon,2,Water,95.0,85.0,85.0,35.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
237,196,Espeon,2,Normal,Sun Pokémon,1,Psychic,65.0,65.0,60.0,110.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
238,197,Umbreon,2,Normal,Moonlight Pokémon,1,Dark,95.0,65.0,110.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
239,198,Murkrow,2,Normal,Darkness Pokémon,2,Dark,60.0,85.0,42.0,91.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
240,199,Slowking,2,Normal,Royal Pokémon,2,Water,95.0,75.0,80.0,30.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
241,200,Misdreavus,2,Normal,Screech Pokémon,1,Ghost,60.0,60.0,60.0,85.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
242,201,Unown,2,Normal,Symbol Pokémon,1,Psychic,48.0,72.0,48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
243,202,Wobbuffet,2,Normal,Patient Pokémon,1,Psychic,190.0,33.0,58.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
244,203,Girafarig,2,Normal,Long Neck Pokémon,2,Normal,70.0,80.0,65.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
245,204,Pineco,2,Normal,Bagworm Pokémon,1,Bug,50.0,65.0,90.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
246,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug,75.0,90.0,140.0,40.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
247,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,100.0,70.0,70.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
248,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground,65.0,75.0,105.0,85.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
249,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel,75.0,85.0,200.0,30.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
